Gene,Mean_Control,Mean_Disease,Std_Control,Std_Disease,Log2FC,T_Statistic,P_Value,Adj_P_Value,Regulation
TATDN1,407.66281496341463,360.6524592093023,353.4866923389096,288.147920857759,-0.17676664458418698,-1.1276482699497459,0.26054100365827276,0.28573253678988825,Not Significant
WFDC11,22.079002928048777,71.444511375,34.03778289458364,67.06815349545056,1.6941030121924086,6.285883315959576,1.4261625150292593e-09,6.669054129177023e-09,Upregulated
TMEM31,49.67346387317074,125.9738733877907,44.2071229602208,106.93588620899801,1.3425597043698592,6.208071921197886,2.1948426004063e-09,9.404856670958578e-09,Upregulated
VARS,111.28087403109755,207.7985468008721,73.53882639402656,162.2141242042407,0.9009738870521102,5.138089896250996,5.565054159387675e-07,1.2078276354609698e-06,Upregulated
DOT1L,85.6358837589431,153.97110553294573,99.30483365550957,101.89027333235649,0.8463648041566529,5.038391124956932,8.962278766434874e-07,1.878323396216784e-06,Upregulated
FYCO1,99.64342585609756,331.63071458779064,66.31603009697848,241.47151502501845,1.7347209736012807,8.539494862373779,1.293245339940912e-15,1.764221779195757e-13,Upregulated
SLC26A1,39.00147460731707,95.18896954137597,41.35320939144249,66.76422813443399,1.2872438981557717,7.003155140085902,2.267279913669325e-11,3.662303808882873e-10,Upregulated
CEP97,342.2241266715447,442.0713201790698,608.4522023432037,750.3037650179393,0.3693367160183158,1.0511627503409096,0.29419080227535477,0.32052763950802104,Not Significant
KIAA1549,192.60753111747968,166.20480999282947,109.47161349174405,54.78879178047257,-0.21270079046988247,-2.5637984192292245,0.010934288354746314,0.014007165020601264,Not Significant
PNPT1,443.1166035487805,3789.049545398546,268.7098158688562,4600.112183818458,3.0960748389019015,6.5743773359298485,2.79396440938381e-10,1.900043172262047e-09,Upregulated
GPIHBP1,64.57140355487805,257.7892149467054,104.89114398565452,263.0485737002611,1.9972078696415918,6.407659131363018,7.210342150439952e-10,3.91739298730999e-09,Upregulated
WWOX,248.12318429885366,272.86656945604653,198.1539180133942,125.8832517626406,0.1371385798166475,1.2060006321125296,0.2289483123489298,0.25297094286930566,Not Significant
AMZ1,114.88632666707315,160.42056644709302,121.06773966657501,131.94159947144058,0.48164844343617474,2.6395577710811375,0.008819107219838354,0.011404646926998822,Not Significant
FGL2,79.77461388256098,206.52404305523254,95.39990211748714,185.2106655069298,1.3722970218899566,5.83485138361914,1.6473692778740668e-08,5.108561617341956e-08,Upregulated
CARTPT,570.2526043536585,270.8513912215116,573.4428093327274,277.7582880673812,-1.074096832581964,-5.6119254620389,5.262799407863025e-08,1.41150255432337e-07,Downregulated
FGD5,84.96388741219513,206.91596776453488,67.88289334318088,176.84755461677992,1.2841132936410635,6.031103722870119,5.770513985203577e-09,2.0715869105733223e-08,Upregulated
DPY19L2P4,77.5176770247561,142.82278554476744,160.09567194089618,245.73229898560186,0.8816204082199767,2.193609105302849,0.029177283719460913,0.03582932238086992,Upregulated
COL13A1,56.407104958130084,113.41976814205428,60.06118651952898,91.12765900084148,1.007710456865533,5.154017342956021,5.153800333373188e-07,1.1262258308227473e-06,Upregulated
KIAA1033,340.84164367016257,319.83604552112405,263.017301795244,194.92158841664616,-0.0917687955850813,-0.7143128152428874,0.47569489597285125,0.503653256824145,Not Significant
TSG101,982.7384459756096,995.7222487151164,676.1815181677497,779.7835339121125,0.01893585033380601,0.12933794891931824,0.8971934159980747,0.906313322145211,Not Significant
CSF3,27.187603024390246,79.16568221608527,33.02204877682137,75.99138273200096,1.5418913647155343,5.928014144226297,1.0042683571501276e-08,3.32452039871935e-08,Upregulated
FMO1,32.038941968292676,81.31800965348837,52.48513313670875,69.90608487864932,1.3437211106793903,5.66517804753544,3.999475373850003e-08,1.1062880637786754e-07,Upregulated
PHOX2B,38.29305384024391,102.8685209127907,46.78320993610461,77.14507869810332,1.4256232928811545,6.987864520566482,2.4840782977395517e-11,3.882924889154137e-10,Upregulated
RASGRP4,40.44543052682926,92.30522050159885,58.64763588584564,85.2358396302355,1.190415486401355,4.974263307403466,1.2131671826701922e-06,2.4917583825826587e-06,Upregulated
ELOVL6,380.67213328780485,380.7308633801357,335.12519227940186,322.24496809723945,0.00022256122167701997,0.0013406363257892724,0.9989313879499437,0.9989313879499437,Not Significant
KRTAP5-2,37.30095826951219,77.92912396860466,36.659524221040016,60.82422412921559,1.062929740596996,5.581231765183927,6.15969635871867e-08,1.6264719964619455e-07,Upregulated
YES1,198.97656544349593,668.1435360875968,293.0393801667524,548.9690461566064,1.7475544496010225,7.256770983603569,4.894803288041783e-12,1.2798651724857185e-10,Upregulated
CASK,238.91846770275612,253.47014714651164,161.5993338694141,117.86477419221578,0.08529712060934867,0.8122790452632407,0.4173981848275075,0.445450335077276,Not Significant
GZMH,31.451059806097565,84.18027724593026,51.46621175601036,79.89332898138673,1.4203448964421963,5.457938869395408,1.1516864676606565e-07,2.852790877140279e-07,Upregulated
C11orf40,16.39516225878049,69.6043525622093,20.493887747888152,67.41654818778112,2.0858400794618137,6.988333965291087,2.477128171340075e-11,3.8823918511636475e-10,Upregulated
TUBB2B,3333.6918392926823,7159.341458982558,3128.4593007973895,5373.5737082625365,1.1027059080038242,5.978134021335603,7.677542123595501e-09,2.650315093321235e-08,Upregulated
TMEM185A,113.29963193658536,192.21424914534884,82.8500722741427,135.96326285285576,0.7625668871339023,4.841832407917388,2.246229123597162e-06,4.4269653570658015e-06,Upregulated
PQLC3,65.56331592926828,221.31833089302322,52.01585017218435,229.9931463110163,1.7551467356931554,6.053202121107195,5.119807290366603e-09,1.8679267736260937e-08,Upregulated
LMNB1,84.6540949512195,127.80648056220932,106.87806856382332,86.36378564087957,0.5943034754077056,3.4409586161174195,0.0006783636062921541,0.000983719006186709,Upregulated
LOC285768,23.85329911097561,71.01625302732556,31.277879513743002,61.98127044226891,1.573920259921595,6.502293898214426,4.2180520768032953e-10,2.611224812892337e-09,Upregulated
SP100,45.35270578227643,117.77039404883722,48.512407782823615,83.24306297040967,1.3766968188204225,7.3039820303828105,3.665835822570848e-12,1.037915704782984e-10,Upregulated
LCE1E,64.31620982682927,115.43019635620155,53.297861821611654,70.73931603068701,0.8437564516566849,5.8025933107127114,1.9527724819985722e-08,5.910988689726239e-08,Upregulated
