Gene,AUC_AD,AUC_OA
BTK,0.7396245059288536,0.7608695652173912
CD28,0.5165513833992095,0.5434782608695652
DOCK2,0.5753458498023716,0.817391304347826
NCKAP1L,0.5712697628458498,0.7043478260869566
TLR7,0.654397233201581,0.8782608695652174
KIF20A,,
CD37,,
ARRB1,,
TOP2A,,
FUCA1,,
