Gene,Mean_Control,Mean_Disease,Std_Control,Std_Disease,Log2FC,T_Statistic,P_Value,Adj_P_Value,Regulation
FGL2,1455.6535416666666,984.9051282051283,1624.894878267701,879.0291190423247,-0.5636098809985775,-1.4930899808782438,0.14056820834751266,0.4723469258619179,Not Significant
CARTPT,22.829166666666666,20.364358974358975,22.740271100190185,20.35927058910456,-0.1648241471440609,-0.44628186440103623,0.6569738932252787,0.875123414837339,Not Significant
COL13A1,27.941111111111113,38.441282051282045,11.358383384438584,18.68544554496026,0.46025295659356563,2.480875320943098,0.015879331881910284,0.14588360304050652,Not Significant
KIAA1033,432.26875,348.29752136752137,249.25706658648036,134.6302590695903,-0.3116075324973469,-1.7371115880570445,0.08741476220069684,0.37135642830197985,Not Significant
TSG101,603.1899999999999,575.7312820512822,234.11768501072834,224.889058873358,-0.06721679453040341,-0.4633701359595194,0.6447481717531517,0.868941693248965,Not Significant
CSF3,67.415,10.896153846153847,177.10936822495722,9.699137947419704,-2.629139653848123,-1.9982375060601785,0.050154079539326935,0.2784977842175944,Not Significant
FMO1,31.290416666666662,59.35025641025641,28.1364103391915,58.77552298843543,0.9235115950194324,2.1848622074727806,0.03275065947010582,0.22075085760144791,Not Significant
PHOX2B,20.465,23.646410256410256,19.045979148868412,23.28157940102449,0.20845303483825064,0.5629886227000357,0.5755061575226723,0.8359751015072069,Not Significant
ELOVL6,40.85277777777778,38.64547008547008,16.143107671133325,11.381237393727698,-0.08013284515173563,-0.6360085727407548,0.5271499980179581,0.8114387497964355,Not Significant
YES1,278.08388888888885,207.04641025641024,112.10423614221986,134.6283965409812,-0.4255641932500351,-2.162703058935715,0.03449347795216916,0.2272936882123677,Not Significant
CASK,100.81333333333333,95.19092307692308,29.6899632736116,23.794725151180945,-0.08278969652612685,-0.827982778056891,0.4109079787046627,0.7459550609890423,Not Significant
GZMH,8.042499999999999,24.754102564102563,7.187995578378066,33.66146545250602,1.6218306178719248,2.3917402148139915,0.019866688064362745,0.16478661818587775,Not Significant
TUBB2B,84.30083333333334,97.70538461538462,78.74668826254754,118.10120392109191,0.21288883189536142,0.49203073824535604,0.624463722053671,0.858246415683294,Not Significant
CCDC176,84.655,101.9703846153846,40.686991431403854,56.68540996709517,0.26848012946715066,1.302457151291431,0.1976562800992662,0.5546770401872056,Not Significant
CD101,19.455416666666665,24.19846153846154,12.564482455877677,16.3612487521199,0.3147289163945378,1.2153476643335297,0.22891652921837735,0.5840815833768799,Not Significant
CSH1 /// CSH2,8.132083333333334,8.035555555555556,3.9648952094272465,4.52754444201975,-0.017225097181506787,-0.08604661413247845,0.9317111784517152,0.9832175006815432,Not Significant
PQLC3,198.71583333333334,171.6821794871795,169.62316186993337,165.895181205177,-0.21096538923181485,-0.6228005997412402,0.5357370503661064,0.8158219284727969,Not Significant
PHLPP2,77.439375,80.33051282051282,21.74827885806239,22.764711547378713,0.052880107130431675,0.4977860699132063,0.6204246680148846,0.8563152969997105,Not Significant
LMNB1,37.93125,44.62615384615385,31.931728845541976,24.809685673923124,0.23449685032650547,0.9312408499394725,0.3554000602576842,0.7046609630447905,Not Significant
SP100,151.3713888888889,122.29324786324786,72.94742503173134,38.21360733263244,-0.3077455262577379,-2.075554984727345,0.04215849844708821,0.25338810029167047,Not Significant
NDST2,99.13062500000001,137.96948717948717,41.921483993825476,53.15539852014428,0.47694241282810923,3.0414280865019068,0.0034682546944866015,0.06161870945956959,Not Significant
GABRE /// MIR224 /// MIR452,47.300000000000004,56.26717948717949,20.263476674956884,44.26618288376033,0.25044860268940994,0.9319551622874113,0.35503374741900073,0.7045867631050714,Not Significant
FGF1,29.378333333333334,27.18068376068376,12.438284905925181,11.84471094193293,-0.11216683292483368,-0.7016957103101319,0.48553761335739587,0.7909491951857895,Not Significant
SERPINA2,9.835416666666665,7.691794871794871,11.297854347721024,6.621878757014855,-0.3546250087856669,-0.9512751075491434,0.3452188303967858,0.6963630586287404,Not Significant
ADCY8,12.146666666666668,18.738974358974357,10.08345035265671,14.068592267674193,0.6254397525789643,1.9986557791584172,0.050107540486951,0.2784553493754699,Not Significant
